Day,Group,Family,variable,n,mean,sd
D05,High,Eggerthellaceae,Abundance,6,0.474,0.414
D05,Low,Eggerthellaceae,Abundance,6,0.732,0.334
D05,Medium,Eggerthellaceae,Abundance,6,0.85,0.378
D09,Control,Eggerthellaceae,Abundance,6,0.748,0.594
D09,High,Eggerthellaceae,Abundance,6,0.609,0.09
D09,Low,Eggerthellaceae,Abundance,6,1.448,1.457
D09,Medium,Eggerthellaceae,Abundance,6,1.328,1.445
D02,Control,Enterobacteriaceae,Abundance,6,0,0.001
D02,High,Enterobacteriaceae,Abundance,6,0.001,0.002
D02,Low,Enterobacteriaceae,Abundance,6,0.002,0.002
D02,Medium,Enterobacteriaceae,Abundance,6,0.003,0.003
D05,Control,Enterobacteriaceae,Abundance,6,0.002,0.003
D05,High,Enterobacteriaceae,Abundance,6,0.002,0.004
D05,Low,Enterobacteriaceae,Abundance,6,0.005,0.01
D05,Medium,Enterobacteriaceae,Abundance,6,0.004,0.005
D09,Control,Enterobacteriaceae,Abundance,6,0.001,0.001
D09,High,Enterobacteriaceae,Abundance,6,0,0.001
D09,Low,Enterobacteriaceae,Abundance,6,0.002,0.003
D09,Medium,Enterobacteriaceae,Abundance,6,0.004,0.005
D02,Control,Enterococcaceae,Abundance,6,0.002,0.003
D02,High,Enterococcaceae,Abundance,6,0.002,0.002
D02,Low,Enterococcaceae,Abundance,6,0.003,0.004
D02,Medium,Enterococcaceae,Abundance,6,0.002,0.004
D05,Control,Enterococcaceae,Abundance,6,0.01,0.021
D05,High,Enterococcaceae,Abundance,6,0.009,0.022
D05,Low,Enterococcaceae,Abundance,6,0.001,0.002
D05,Medium,Enterococcaceae,Abundance,6,0.002,0.004
D09,Control,Enterococcaceae,Abundance,6,0.009,0.012
D09,High,Enterococcaceae,Abundance,6,0,0
D09,Low,Enterococcaceae,Abundance,6,0.003,0.005
D09,Medium,Enterococcaceae,Abundance,6,0.002,0.002
D02,Control,Erysipelotrichaceae,Abundance,6,0.16,0.083
D02,High,Erysipelotrichaceae,Abundance,6,0.355,0.272
D02,Low,Erysipelotrichaceae,Abundance,6,0.23,0.136
D02,Medium,Erysipelotrichaceae,Abundance,6,0.168,0.146
D05,Control,Erysipelotrichaceae,Abundance,6,0.2,0.233
D05,High,Erysipelotrichaceae,Abundance,6,0.243,0.168
D05,Low,Erysipelotrichaceae,Abundance,6,0.239,0.081
D05,Medium,Erysipelotrichaceae,Abundance,6,0.123,0.107
D09,Control,Erysipelotrichaceae,Abundance,6,0.228,0.299
D09,High,Erysipelotrichaceae,Abundance,6,1.322,0.423
D09,Low,Erysipelotrichaceae,Abundance,6,1.15,0.598
D09,Medium,Erysipelotrichaceae,Abundance,6,1.33,1.06
D02,Control,Eubacteriaceae,Abundance,6,0.453,0.244
D02,High,Eubacteriaceae,Abundance,6,0.235,0.075
D02,Low,Eubacteriaceae,Abundance,6,0.448,0.36
D02,Medium,Eubacteriaceae,Abundance,6,0.541,0.517
D05,Control,Eubacteriaceae,Abundance,6,0.439,0.334
D05,High,Eubacteriaceae,Abundance,6,0.292,0.183
D05,Low,Eubacteriaceae,Abundance,6,0.331,0.222
D05,Medium,Eubacteriaceae,Abundance,6,0.536,0.275
D09,Control,Eubacteriaceae,Abundance,6,0.401,0.198
D09,High,Eubacteriaceae,Abundance,6,0.328,0.219
D09,Low,Eubacteriaceae,Abundance,6,0.754,0.801
D09,Medium,Eubacteriaceae,Abundance,6,0.358,0.269
D02,Control,Lachnospiraceae,Abundance,6,36.929,19.555
D02,High,Lachnospiraceae,Abundance,6,36.634,13.79
D02,Low,Lachnospiraceae,Abundance,6,40.397,21.609
D02,Medium,Lachnospiraceae,Abundance,6,35.569,11.395
D05,Control,Lachnospiraceae,Abundance,6,48.869,15.278
D05,High,Lachnospiraceae,Abundance,6,29.283,14.247
D05,Low,Lachnospiraceae,Abundance,6,34.402,19.589
D05,Medium,Lachnospiraceae,Abundance,6,34.835,19.958
D09,Control,Lachnospiraceae,Abundance,6,40.57,20.279
D09,High,Lachnospiraceae,Abundance,6,41.939,23.814
D09,Low,Lachnospiraceae,Abundance,6,33.333,22.526
D09,Medium,Lachnospiraceae,Abundance,6,34.947,16.146
D02,Control,Lactobacillaceae,Abundance,6,2.134,2
D02,High,Lactobacillaceae,Abundance,6,1.436,1.273
D02,Low,Lactobacillaceae,Abundance,6,5.162,10.225
D02,Medium,Lactobacillaceae,Abundance,6,4.066,4.631
D05,Control,Lactobacillaceae,Abundance,6,1.331,1.641
D05,High,Lactobacillaceae,Abundance,6,0.22,0.3
D05,Low,Lactobacillaceae,Abundance,6,6.374,6.863
D05,Medium,Lactobacillaceae,Abundance,6,4.167,4.815
D09,Control,Lactobacillaceae,Abundance,6,7.42,10.387
D09,High,Lactobacillaceae,Abundance,6,1.08,1.407
D09,Low,Lactobacillaceae,Abundance,6,3.881,7.898
D09,Medium,Lactobacillaceae,Abundance,6,2.522,2.432
D02,Control,Listeriaceae,Abundance,6,0,0
D02,High,Listeriaceae,Abundance,6,0,0.001
D02,Low,Listeriaceae,Abundance,6,0,0
D02,Medium,Listeriaceae,Abundance,6,0.001,0.003
D05,Control,Listeriaceae,Abundance,6,0.001,0.001
D05,High,Listeriaceae,Abundance,6,0,0.001
D05,Low,Listeriaceae,Abundance,6,0.001,0.002
D05,Medium,Listeriaceae,Abundance,6,0,0.001
D09,Control,Listeriaceae,Abundance,6,0,0
D09,High,Listeriaceae,Abundance,6,0,0
D09,Low,Listeriaceae,Abundance,6,0,0.001
D09,Medium,Listeriaceae,Abundance,6,0,0
D02,Control,Muribaculaceae,Abundance,6,32.13,14.928
D02,High,Muribaculaceae,Abundance,6,31.986,9.302
D02,Low,Muribaculaceae,Abundance,6,28.503,14.461
D02,Medium,Muribaculaceae,Abundance,6,28.444,4.722
D05,Control,Muribaculaceae,Abundance,6,22.856,11.188
D05,High,Muribaculaceae,Abundance,6,40.246,16.346
D05,Low,Muribaculaceae,Abundance,6,33.99,13.327
D05,Medium,Muribaculaceae,Abundance,6,30.359,17.634
D09,Control,Muribaculaceae,Abundance,6,27.171,13.027
D09,High,Muribaculaceae,Abundance,6,33.258,19.544
D09,Low,Muribaculaceae,Abundance,6,35.652,15.931
D09,Medium,Muribaculaceae,Abundance,6,36.589,15.041
D02,Control,Odoribacteraceae,Abundance,6,0.15,0.081
D02,High,Odoribacteraceae,Abundance,6,0.203,0.173
D02,Low,Odoribacteraceae,Abundance,6,0.155,0.105
D02,Medium,Odoribacteraceae,Abundance,6,0.175,0.086
D05,Control,Odoribacteraceae,Abundance,6,0.116,0.085
D05,High,Odoribacteraceae,Abundance,6,0.097,0.052
D05,Low,Odoribacteraceae,Abundance,6,0.086,0.052
D05,Medium,Odoribacteraceae,Abundance,6,0.195,0.18
D09,Control,Odoribacteraceae,Abundance,6,0.146,0.249
D09,High,Odoribacteraceae,Abundance,6,0.047,0.033
D09,Low,Odoribacteraceae,Abundance,6,0.066,0.041
D09,Medium,Odoribacteraceae,Abundance,6,0.028,0.022
D02,Control,Order_Bacteroidales,Abundance,6,5.462,4.736
D02,High,Order_Bacteroidales,Abundance,6,3.927,2.677
D02,Low,Order_Bacteroidales,Abundance,6,4.887,3.268
D02,Medium,Order_Bacteroidales,Abundance,6,8.328,9.462
D05,Control,Order_Bacteroidales,Abundance,6,3.395,2.014
D05,High,Order_Bacteroidales,Abundance,6,4.309,2.38
D05,Low,Order_Bacteroidales,Abundance,6,5.372,3.56
D05,Medium,Order_Bacteroidales,Abundance,6,5.696,4.175
D09,Control,Order_Bacteroidales,Abundance,6,4.769,3.19
D09,High,Order_Bacteroidales,Abundance,6,4.482,4.873
D09,Low,Order_Bacteroidales,Abundance,6,4.15,3.605
D09,Medium,Order_Bacteroidales,Abundance,6,4.623,2.431
D02,Control,Order_Clostridiales,Abundance,6,2.059,0.554
D02,High,Order_Clostridiales,Abundance,6,3.279,3.62
D02,Low,Order_Clostridiales,Abundance,6,1.499,0.636
D02,Medium,Order_Clostridiales,Abundance,6,2.402,0.642
D05,Control,Order_Clostridiales,Abundance,6,1.853,0.871
D05,High,Order_Clostridiales,Abundance,6,3.112,2.116
D05,Low,Order_Clostridiales,Abundance,6,2.664,2.414
D05,Medium,Order_Clostridiales,Abundance,6,3.192,2.621
D09,Control,Order_Clostridiales,Abundance,6,1.404,0.737
D09,High,Order_Clostridiales,Abundance,6,1.221,1.065
D09,Low,Order_Clostridiales,Abundance,6,1.538,1.431
D09,Medium,Order_Clostridiales,Abundance,6,2.605,1.148
D02,Control,Order_Rhodospirillales,Abundance,6,0.007,0.01
D02,High,Order_Rhodospirillales,Abundance,6,0.015,0.017
D02,Low,Order_Rhodospirillales,Abundance,6,0.012,0.01
D02,Medium,Order_Rhodospirillales,Abundance,6,0.025,0.036
D05,Control,Order_Rhodospirillales,Abundance,6,0.005,0.008
D05,High,Order_Rhodospirillales,Abundance,6,0.038,0.024
D05,Low,Order_Rhodospirillales,Abundance,6,0.037,0.043
D05,Medium,Order_Rhodospirillales,Abundance,6,0.048,0.07
D09,Control,Order_Rhodospirillales,Abundance,6,0.004,0.008
D09,High,Order_Rhodospirillales,Abundance,6,0.006,0.008
D09,Low,Order_Rhodospirillales,Abundance,6,0.005,0.007
D09,Medium,Order_Rhodospirillales,Abundance,6,0.01,0.007
D02,Control,Peptococcaceae_1,Abundance,6,0.088,0.064
D02,High,Peptococcaceae_1,Abundance,6,0.081,0.153
D02,Low,Peptococcaceae_1,Abundance,6,0.007,0.011
D02,Medium,Peptococcaceae_1,Abundance,6,0.121,0.156
D05,Control,Peptococcaceae_1,Abundance,6,0.105,0.115
D05,High,Peptococcaceae_1,Abundance,6,0.045,0.08
D05,Low,Peptococcaceae_1,Abundance,6,0.033,0.082
D05,Medium,Peptococcaceae_1,Abundance,6,0.077,0.112
D09,Control,Peptococcaceae_1,Abundance,6,0.045,0.054
D09,High,Peptococcaceae_1,Abundance,6,0.099,0.163
D09,Low,Peptococcaceae_1,Abundance,6,0.016,0.039
D09,Medium,Peptococcaceae_1,Abundance,6,0.061,0.062
D02,Control,Peptostreptococcaceae,Abundance,6,0.002,0.003
D02,High,Peptostreptococcaceae,Abundance,6,0.002,0.002
D02,Low,Peptostreptococcaceae,Abundance,6,0.001,0.001
D02,Medium,Peptostreptococcaceae,Abundance,6,0.001,0.002
D05,Control,Peptostreptococcaceae,Abundance,6,0,0
D05,High,Peptostreptococcaceae,Abundance,6,0.002,0.002
D05,Low,Peptostreptococcaceae,Abundance,6,0.001,0.002
D05,Medium,Peptostreptococcaceae,Abundance,6,0.001,0.001
D09,Control,Peptostreptococcaceae,Abundance,6,0.001,0.001
D09,High,Peptostreptococcaceae,Abundance,6,0.002,0.002
D09,Low,Peptostreptococcaceae,Abundance,6,0.001,0.002
D09,Medium,Peptostreptococcaceae,Abundance,6,0,0.001
D02,Control,Phylum_Bacteroidetes,Abundance,6,0.001,0.001
D02,High,Phylum_Bacteroidetes,Abundance,6,0.003,0.003
D02,Low,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D02,Medium,Phylum_Bacteroidetes,Abundance,6,0.001,0.001
D05,Control,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D05,High,Phylum_Bacteroidetes,Abundance,6,0.003,0.002
D05,Low,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D05,Medium,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D09,Control,Phylum_Bacteroidetes,Abundance,6,0,0.001
D09,High,Phylum_Bacteroidetes,Abundance,6,0.002,0.002
D09,Low,Phylum_Bacteroidetes,Abundance,6,0.001,0.002
D09,Medium,Phylum_Bacteroidetes,Abundance,6,0.001,0.001
D02,Control,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.242,0.47
D02,High,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.004,0.004
D02,Low,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.031,0.039
D02,Medium,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.046,0.056
D05,Control,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.012,0.013
D05,High,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.003,0.003
D05,Low,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.007,0.006
D05,Medium,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.011,0.022
D09,Control,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.018,0.025
D09,High,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.003,0.006
D09,Low,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.001,0.002
D09,Medium,Phylum_Candidatus_Saccharibacteria,Abundance,6,0.003,0.005
D02,Control,Phylum_Firmicutes,Abundance,6,1.148,1.175
D02,High,Phylum_Firmicutes,Abundance,6,1.314,0.765
D02,Low,Phylum_Firmicutes,Abundance,6,0.639,0.294
D02,Medium,Phylum_Firmicutes,Abundance,6,1.09,0.452
D05,Control,Phylum_Firmicutes,Abundance,6,1.014,0.442
D05,High,Phylum_Firmicutes,Abundance,6,0.921,0.505
D05,Low,Phylum_Firmicutes,Abundance,6,0.551,0.239
D05,Medium,Phylum_Firmicutes,Abundance,6,1.4,0.81
D09,Control,Phylum_Firmicutes,Abundance,6,1.202,1.246
D09,High,Phylum_Firmicutes,Abundance,6,0.462,0.416
D09,Low,Phylum_Firmicutes,Abundance,6,0.623,0.632
D09,Medium,Phylum_Firmicutes,Abundance,6,0.622,0.16
D02,Control,Phylum_Proteobacteria,Abundance,6,0.002,0.002
D02,High,Phylum_Proteobacteria,Abundance,6,0.039,0.041
D02,Low,Phylum_Proteobacteria,Abundance,6,0.008,0.013
D02,Medium,Phylum_Proteobacteria,Abundance,6,0.014,0.021
D05,Control,Phylum_Proteobacteria,Abundance,6,0.001,0.002
D05,High,Phylum_Proteobacteria,Abundance,6,0.073,0.057
D05,Low,Phylum_Proteobacteria,Abundance,6,0.025,0.039
D05,Medium,Phylum_Proteobacteria,Abundance,6,0.048,0.076
D09,Control,Phylum_Proteobacteria,Abundance,6,0.008,0.019
D09,High,Phylum_Proteobacteria,Abundance,6,0.111,0.155
D09,Low,Phylum_Proteobacteria,Abundance,6,0.078,0.073
D09,Medium,Phylum_Proteobacteria,Abundance,6,0.013,0.015
D02,Control,Porphyromonadaceae,Abundance,6,0.033,0.022
D02,High,Porphyromonadaceae,Abundance,6,0.119,0.179
D02,Low,Porphyromonadaceae,Abundance,6,0.039,0.037
D02,Medium,Porphyromonadaceae,Abundance,6,0.054,0.029
D05,Control,Porphyromonadaceae,Abundance,6,0.018,0.014
D05,High,Porphyromonadaceae,Abundance,6,0.247,0.28
D05,Low,Porphyromonadaceae,Abundance,6,0.05,0.021
D05,Medium,Porphyromonadaceae,Abundance,6,0.107,0.082
D09,Control,Porphyromonadaceae,Abundance,6,0.063,0.078
D09,High,Porphyromonadaceae,Abundance,6,0.203,0.125
D09,Low,Porphyromonadaceae,Abundance,6,0.202,0.123
D09,Medium,Porphyromonadaceae,Abundance,6,0.337,0.309
D02,Control,Prevotellaceae,Abundance,6,1.035,1.057
D02,High,Prevotellaceae,Abundance,6,1.206,1.33
D02,Low,Prevotellaceae,Abundance,6,2.383,1.09
D02,Medium,Prevotellaceae,Abundance,6,0.995,0.765
D05,Control,Prevotellaceae,Abundance,6,0.71,0.483
D05,High,Prevotellaceae,Abundance,6,2.41,1.764
D05,Low,Prevotellaceae,Abundance,6,2.465,2.47
